Date;Eastern region - Minimum (GW);Eastern region - Maximum (GW);Eastern region - Average (GW);Western region - Minimum - (GW);Western region - Maximum - (GW);Western region - Average - (GW);Central region - Minimum - (GW);Central region - Maximum - (GW);Central region - Average - (GW);Southern region - Minimum - (GW);Southern region - Maximum - (GW);Southern region - Average - (GW)
2016-07;14.6;18.3;16.7;10.5;15.5;13.6;11.8;19.7;16.5;3.4;5.8;4.9
2017-04;10.5;14.9;13.0;7.7;14.1;11.0;7.2;14.9;11.5;2.8;5.0;4.1
2010-02;6.5;8.454;7.404;3.731;7.458;5.762;3.768;7.213;5.11;1.445;2.336;1.876
2010-01;6.2;8.2;7.187;3.781;6.978;5.337;3.868;6.915;5.191;1.335;2.35;1.838
2015-12;9.7;12.1;13.4;4.6;10.7;6.9;5.7;11.3;8.2;2.3;3.9;3.1
2015-10;11.9;16.9;11.5;8.6;15.1;12.4;8.4;15.5;12.3;2.7;4.7;3.7
2012-05;7.9;14.4;11.7;2.3;3.7;3.1;9.4;12.9;11.2;7.6;13.1;10.4
2013-02;7.2;9.4;8.2;4.0;8.6;6.8;4.6;8.3;6.2;1.7;3.1;2.5
2011-04;7.4;10.8;9.0;4.9;10.1;7.6;9.6;4.5;7.1;1.7;3.2;2.5
2015-04;10.4;15.1;12.6;6.0;12.5;9.4;6.4;13.9;10.0;2.6;4.2;3.5
2013-08;11.6;14.9;13.4;9.7;13.6;11.9;9.9;16.1;13.6;2.5;4.1;3.5
2012-03;4.2;7.7;5.9;1.7;2.9;2.3;6.9;9.0;7.9;3.8;9.0;6.5
2009-10;8.1;11.9;10.167;6.398;11.42;9.208;5.316;10.753;8.131;1.623;2.917;2.335
2009-12;6.7;8.477;7.565;3.416;7.569;5.91;4.053;7.518;5.463;1.272;2.574;2.002
2010-10;8.1;11.9;10.167;6.398;11.42;9.208;5.316;10.753;8.131;1.623;2.917;2.335
2010-09;9.7;12.8;11.371;7.484;12.262;10.208;7.152;13.036;9.979;1.646;3.312;2.699
2009-06;9.8;12.8;11.488;8.269;12.467;10.408;8.661;14.006;11.404;2.233;3.309;2.855
2009-01;6.2;8.2;7.187;3.781;6.978;5.337;3.868;6.915;5.191;1.335;2.35;1.838
